decimalLatitude,decimalLongitude,eventDate,species,label
32.181,-154.781,2004-05-31T01:13:38,Green Sea Turtle,1
34.189,-169.765,2004-06-01T18:39:30,Green Sea Turtle,1
38.388192,-68.588703,2014-03-25T12:00:00,Green Sea Turtle,1
-19.71603,54.49168,2011-04-02T07:12:45,Green Sea Turtle,1
36.730228,-75.683583,2007-03-12T16:02,Green Sea Turtle,1
32.4717,-79.3093,2018-12-16T12:09:59,Green Sea Turtle,1
37.61361,-76.1726,2011-05-25T20:03:56,Green Sea Turtle,1
25.5,-131.5,1996-10-12T05:58:18/1996-10-14T06:50:51,Green Sea Turtle,1
37.924,146.215,2007-10-29T04:46,Green Sea Turtle,1
35.535,23.969,2011-08-29T01:55:11,Green Sea Turtle,1
37.6933,-25.6787,2016-05-13T10:20:00,Green Sea Turtle,1
30.243697,-80.367558,2010-06-10T15:18:18,Green Sea Turtle,1
44.362,143.822,2011-09-16T05:14,Green Sea Turtle,1
38.21409,-74.64503,2011-07-25T12:51:07,Green Sea Turtle,1
11.39061,55.63149,2011-03-01T23:30:46,Green Sea Turtle,1
30.58,-167.027,1997-06-14T14:14,Green Sea Turtle,1
39.824,164.731,2009-12-04T08:57,Green Sea Turtle,1
32.661,-148.621,2003-12-30T02:03:21,Green Sea Turtle,1
37.6242,4.4302,2018-09-04T05:35:00+00:00,Green Sea Turtle,1
36.394,12.081,2018-03-05T16:33:00+00:00,Green Sea Turtle,1
31.631,178.417,2011-04-20T06:25,Green Sea Turtle,1
36.949,-1.706,2016-07-04T06:49:00+00:00,Green Sea Turtle,1
28.4435,-80.102833,1992-09-21,Green Sea Turtle,1
29.9305,-80.9108,NA,Green Sea Turtle,1
40.397369,-73.025009,2017-06-22T12:45:06,Green Sea Turtle,1
33.831,14.018,2018-01-24T07:50:00+00:00,Green Sea Turtle,1
-21.72311,54.63186,2010-09-19T14:34:55,Green Sea Turtle,1
-38.55607,47.05024,2011-04-21T15:38:59,Green Sea Turtle,1
11.257,-73.79,2020-10-14,Green Sea Turtle,1
41.41454,7.72173,2017-06-09T17:07:00+00:00,Green Sea Turtle,1
37.91996,-74.63686,2011-09-30T21:51:18,Green Sea Turtle,1
41.266628,-72.201937,2007-10-25T12:00:00,Green Sea Turtle,1
38.06448,-75.05634,2011-07-28T15:35:25,Green Sea Turtle,1
28.04378,-80.09573,2004-08-18,Green Sea Turtle,1
-21.946,113.934,2024-02-25T02:38:26Z,Green Sea Turtle,1
41.129,168.166,2010-07-31T06:33,Green Sea Turtle,1
35.643,-178.565,2012-06-25T08:56,Green Sea Turtle,1
35.530087,-75.181581,2008-04-30T10:23:00,Green Sea Turtle,1
-18.06449,37.29251,2012-03-03T16:18:00,Green Sea Turtle,1
41.421,-163.25,2012-09-04T09:01,Green Sea Turtle,1
40.758,2.354,2016-09-06T10:18:00+00:00,Green Sea Turtle,1
-15.08183,53.30536,2011-02-11T16:56:13,Green Sea Turtle,1
31.206,-152.882,2004-05-21T01:25:44,Green Sea Turtle,1
-36.79066,25.57562,2012-10-11T07:33:21,Green Sea Turtle,1
16.40667,54.62077,2012-05-10T10:54:22,Green Sea Turtle,1
-38.96568,22.9773,2012-09-03T08:22:52,Green Sea Turtle,1
12.76571,51.09917,2011-03-27T15:00:29,Green Sea Turtle,1
37.643,-164.189,2003-08-01T17:53:41,Green Sea Turtle,1
-35.74557,27.78233,2012-10-03T14:45:35,Green Sea Turtle,1
39.226,142.764,2011-10-03T13:18,Green Sea Turtle,1
27.99385,-80.095917,2004-08-18,Green Sea Turtle,1
36.731671,-75.754416,2007-04-29T14:49,Green Sea Turtle,1
29.63258,-88.51722,2018-01-19T14:38:05,Green Sea Turtle,1
36.5,-75.5,2003-07-10T10:23:40/2004-10-22T19:45:22,Green Sea Turtle,1
-9.50582,50.31978,2011-10-30T14:41:55,Green Sea Turtle,1
38.20912,-74.75036,2014-07-17T15:01:34,Green Sea Turtle,1
39.046,-165.812,2000-10-11T04:27,Green Sea Turtle,1
27.7496,-80.2855,NA,Green Sea Turtle,1
37.9943,5.4333,2018-11-17T08:34:00+00:00,Green Sea Turtle,1
38.817,-71.333,1980-08-07T11:24:00,Green Sea Turtle,1
39.019,3.424,2017-12-10T08:05:00+00:00,Green Sea Turtle,1
